HalfHourInterval,RegionID,Percentile,Value
26/06/2025 20:00,VIC1,P5,17357.07092
26/06/2025 20:00,VIC1,P50,17499.98
26/06/2025 20:30,VIC1,P75,17499.96017
26/06/2025 20:30,VIC1,P25,17499.92
26/06/2025 20:30,VIC1,P90,17499.98
26/06/2025 20:30,VIC1,P10,17499.89
26/06/2025 20:30,VIC1,P95,17500
26/06/2025 20:30,VIC1,P5,16790.02571
26/06/2025 20:30,VIC1,P50,17499.93
26/06/2025 21:00,VIC1,P75,17499.89
26/06/2025 21:00,VIC1,P25,17459.22436
26/06/2025 21:00,VIC1,P90,17499.93
26/06/2025 21:00,VIC1,P10,17086.44445
26/06/2025 21:00,VIC1,P95,17500
26/06/2025 21:00,VIC1,P5,15700.40076
26/06/2025 21:00,VIC1,P50,17499.89
26/06/2025 21:30,VIC1,P75,13605.80382
26/06/2025 21:30,VIC1,P25,1852.41422
26/06/2025 21:30,VIC1,P90,17245.6297
26/06/2025 21:30,VIC1,P10,1109.78751
26/06/2025 21:30,VIC1,P95,17499.96017
26/06/2025 21:30,VIC1,P5,545.50691
26/06/2025 21:30,VIC1,P50,8599.58282
26/06/2025 22:00,VIC1,P75,1069.47181
26/06/2025 22:00,VIC1,P25,550.95063
26/06/2025 22:00,VIC1,P90,1120.49705
26/06/2025 22:00,VIC1,P10,457.09907
26/06/2025 22:00,VIC1,P95,17482.30837
26/06/2025 22:00,VIC1,P5,433.04379
26/06/2025 22:00,VIC1,P50,794.594
26/06/2025 22:30,VIC1,P75,1080.71263
26/06/2025 22:30,VIC1,P25,793.8002
26/06/2025 22:30,VIC1,P90,1141.2443
26/06/2025 22:30,VIC1,P10,512.04839
26/06/2025 22:30,VIC1,P95,9419.6731
26/06/2025 22:30,VIC1,P5,399.48
26/06/2025 22:30,VIC1,P50,947.63271
26/06/2025 23:00,VIC1,P75,691.16
26/06/2025 23:00,VIC1,P25,558.13693
26/06/2025 23:00,VIC1,P90,691.16
26/06/2025 23:00,VIC1,P10,299.5
26/06/2025 23:00,VIC1,P95,1009.82409
26/06/2025 23:00,VIC1,P5,299.5
26/06/2025 23:00,VIC1,P50,585.93675
26/06/2025 23:30,VIC1,P75,299.5
26/06/2025 23:30,VIC1,P25,299.5
26/06/2025 23:30,VIC1,P90,333.87765
26/06/2025 23:30,VIC1,P10,299.5
26/06/2025 23:30,VIC1,P95,1045.65978
26/06/2025 23:30,VIC1,P5,270.74912
26/06/2025 23:30,VIC1,P50,299.5
27/06/2025 0:00,VIC1,P75,300.93219
27/06/2025 0:00,VIC1,P25,299.5
27/06/2025 0:00,VIC1,P90,986.35414
27/06/2025 0:00,VIC1,P10,290.23369
27/06/2025 0:00,VIC1,P95,9822.14652
27/06/2025 0:00,VIC1,P5,243.82142
27/06/2025 0:00,VIC1,P50,299.5
27/06/2025 0:30,VIC1,P75,691.16
27/06/2025 0:30,VIC1,P25,254.44451
27/06/2025 0:30,VIC1,P90,504.00887
27/06/2025 0:30,VIC1,P10,250.77602
27/06/2025 0:30,VIC1,P95,1000.67069
27/06/2025 0:30,VIC1,P5,223.91443
27/06/2025 0:30,VIC1,P50,259.61334
27/06/2025 1:00,VIC1,P75,304.68563
27/06/2025 1:00,VIC1,P25,224.49281
27/06/2025 1:00,VIC1,P90,309.30585
27/06/2025 1:00,VIC1,P10,202.46893
27/06/2025 1:00,VIC1,P95,784.94182
27/06/2025 1:00,VIC1,P5,190.36594
27/06/2025 1:00,VIC1,P50,232.12
27/06/2025 1:30,VIC1,P75,257.54031
27/06/2025 1:30,VIC1,P25,193.34383
27/06/2025 1:30,VIC1,P90,273.68094
27/06/2025 1:30,VIC1,P10,188.25607
27/06/2025 1:30,VIC1,P95,818.37614
27/06/2025 1:30,VIC1,P5,180.21
27/06/2025 1:30,VIC1,P50,200.02
27/06/2025 2:00,VIC1,P75,233.70963
27/06/2025 2:00,VIC1,P25,191.34179
27/06/2025 2:00,VIC1,P90,248.08969
27/06/2025 2:00,VIC1,P10,186.81437
27/06/2025 2:00,VIC1,P95,346.34658
27/06/2025 2:00,VIC1,P5,177.44865
27/06/2025 2:00,VIC1,P50,200.02
27/06/2025 2:30,VIC1,P75,229.21
27/06/2025 2:30,VIC1,P25,189.34342
27/06/2025 2:30,VIC1,P90,232.12
27/06/2025 2:30,VIC1,P10,185.32042
27/06/2025 2:30,VIC1,P95,296.96
27/06/2025 2:30,VIC1,P5,148.32598
27/06/2025 2:30,VIC1,P50,192.25062
27/06/2025 3:00,VIC1,P75,193.54926
27/06/2025 3:00,VIC1,P25,183.85
27/06/2025 3:00,VIC1,P90,225.46303
27/06/2025 3:00,VIC1,P10,179.4124
27/06/2025 3:00,VIC1,P95,296.96
27/06/2025 3:00,VIC1,P5,143.38157
27/06/2025 3:00,VIC1,P50,190.73767
27/06/2025 3:30,VIC1,P75,222.61721
27/06/2025 3:30,VIC1,P25,184.77115
27/06/2025 3:30,VIC1,P90,227.97063
27/06/2025 3:30,VIC1,P10,181.31921
27/06/2025 3:30,VIC1,P95,451.11
27/06/2025 3:30,VIC1,P5,142.42662
27/06/2025 3:30,VIC1,P50,196.79135
27/06/2025 4:00,VIC1,P75,238.37864
27/06/2025 4:00,VIC1,P25,190.03719
27/06/2025 4:00,VIC1,P90,298.75069
27/06/2025 4:00,VIC1,P10,181.43013
27/06/2025 4:00,VIC1,P95,642.01088
27/06/2025 4:00,VIC1,P5,141.98999
27/06/2025 4:00,VIC1,P50,218.55077
